id,amt_id,room_id,is_ready,last_active,timeout
72,A1SIUJEL2LS8UO,36,f,2018-01-05 20:19:26.213285,t
174,A3EM25WEHB1Y9W,0,f,,f
116,AY9ZVK32I1P1L,60,f,2018-01-05 20:49:12.138102,t
84,A8HADRH59XIB4,46,f,2018-01-05 20:33:17.68497,t
121,AK467M5VTG7N4,62,f,2018-01-05 20:51:56.567685,f
99,A10BH9PYCYUKDJ,47,f,2018-01-05 20:33:47.716363,f
96,A2GOYSTIL3LOV1,47,f,2018-01-05 20:33:48.205868,f
111,A29NA4283YJ26D,55,f,2018-01-05 20:42:50.516644,t
176,A1HEUX7S8HBZWT,87,f,2018-01-05 23:07:28.008431,f
94,A3DFMWYTKJ57L,50,f,2018-01-05 20:34:32.070668,f
77,APGX2WZ59OWDN,37,f,2018-01-05 20:31:13.496837,f
135,A2QSKK3UORCGNY,0,t,2018-01-05 22:21:08.68261,f
102,APGX2WZ59OWDN,50,f,2018-01-05 20:34:32.270975,f
80,A2O7H7VXLFN6BP,38,f,2018-01-05 20:31:30.385628,f
74,A1ZZ7YO3YASNIP,37,f,2018-01-05 20:31:13.170178,t
85,ATUY1BTU5BQDE,40,f,2018-01-05 20:32:02.475187,f
163,A1P6OXEJ86HQRM,80,f,2018-01-05 22:59:24.963932,f
109,AK467M5VTG7N4,54,f,2018-01-05 20:42:26.871834,t
148,ANYB94DHDJKNO,76,f,2018-01-05 22:58:25.574706,t
160,A3AJJHOAV7WIUQ,82,f,2018-01-05 23:00:08.279829,t
115,A1H6IVAOAIOW9K,59,f,2018-01-05 20:45:59.157575,t
88,A320QA9HJFUOZO,41,f,2018-01-05 20:32:13.847174,f
75,AKA9XW7UANMPJ,41,f,2018-01-05 20:32:14.301637,f
188,A22DDO8NILSX6O,0,t,2018-01-05 23:47:25.433967,f
180,A3SUN3J72ZJ8W9,90,f,2018-01-05 23:09:57.374104,f
90,A3URNV625JS985,43,f,2018-01-05 20:32:35.289273,f
165,AY0BJCGY2DHIX,81,f,2018-01-05 22:59:39.970683,f
137,A1CH3TODZNQCES,70,f,2018-01-05 22:57:29.655779,f
186,SDFB346,93,f,2018-01-05 23:29:39.16037,f
140,A13QB35FF01B4L,73,f,2018-01-05 22:57:58.354861,f
145,AKHTVKAQY4YUS,73,f,2018-01-05 22:57:58.492677,f
159,AF18OIZ0GWGP2,0,f,,f
104,A1PPJJHOPZQ3E5,52,f,2018-01-05 20:37:17.446497,f
178,A36O6HV8LCXLJR,89,f,2018-01-05 23:09:23.436557,f
182,A2OH4HSBUHQCLS,91,f,2018-01-05 23:13:43.231435,f
126,AY9ZVK32I1P1L,0,t,2018-01-05 21:08:26.274932,f
128,A3R0TIQBS9FK5Y,65,f,2018-01-05 21:13:05.653498,t
154,A2QCHFSNUU7Y1F,78,f,2018-01-05 22:58:46.006171,f
161,A26SF9CTNKKBYB,79,f,2018-01-05 22:59:07.112845,f
133,A1KEA2Z47S3UPI,68,f,2018-01-05 21:41:03.602169,t
131,A2XUADP5L61HQ5,67,f,2018-01-05 21:34:01.974823,t
168,AF1MN25P3XFLG,84,f,2018-01-05 23:01:54.49436,f
172,A2YHOJLEZR8663,86,f,2018-01-05 23:05:01.308636,f
144,A1ZD8RU6YB0VEU,70,f,2018-01-05 22:57:29.097971,t
142,AOIR8V07FYMH5,71,f,2018-01-05 22:57:39.957964,t
184,A5Z8N0EWH45YT,92,f,2018-01-05 23:18:34.346227,f
