id,next_turn_uid,p1_uid,p2_uid,time_last_move,chosen_arm,trial,game,reward,next_game_bool,completion_code,p1_score,p1_is_observable,p1_scores_strs,p2_score,p2_is_observable,p2_scores_strs,score,scores_strs,experimental_condition
90,180,180,181,2018-01-05 23:24:55.734111,4,41,10,0,f,yNUIuWNz,21,t,"[23, 28, 29, 26, 32, 19, 22, 25, 19, 21]",21,t,"[23, 28, 29, 26, 32, 19, 22, 25, 19, 21]",21,"[23, 28, 29, 26, 32, 19, 22, 25, 19, 21]",control
88,177,175,177,2018-01-05 23:22:21.684856,3,41,10,1,f,m9W9sHWz,19,t,"[18, 20, 30, 20, 28, 32, 26, 28, 11, 19]",19,t,"[18, 20, 30, 20, 28, 32, 26, 28, 11, 19]",19,"[18, 20, 30, 20, 28, 32, 26, 28, 11, 19]",control
93,187,187,186,2018-01-05 23:30:20.15887,1,3,1,0,f,,0,t,[],0,t,[],0,[],control
29,54,54,60,2018-01-05 19:38:16.450896,-1,1,1,,,,0,,[],0,,[],0,[],partial
57,110,113,110,2018-01-05 20:43:20.769396,1,2,1,0,f,,0,t,[],0,f,[],0,[],partial_asymmetric
62,120,121,120,2018-01-05 20:52:03.323545,3,2,1,1,f,,1,t,[],0,f,[],1,[],partial_asymmetric
30,59,59,61,2018-01-05 19:57:15.395965,3,43,10,1,f,SfXHJM1z,20,t,"[21, 19, 29, 24, 37, 34, 33, 28, 18, 20]",4,f,"[9, 5, 12, 9, 8, 12, 9, 9, 7, 4]",20,"[21, 19, 29, 24, 37, 34, 33, 28, 18, 20]",partial
83,166,166,164,2018-01-05 23:23:11.745585,2,41,10,0,f,WImZaZqz,17,t,"[26, 18, 31, 25, 29, 27, 25, 26, 20, 17]",17,t,"[26, 18, 31, 25, 29, 27, 25, 26, 20, 17]",17,"[26, 18, 31, 25, 29, 27, 25, 26, 20, 17]",control
72,141,141,146,2018-01-05 23:10:03.732288,3,41,10,0,f,ur40sA3z,17,t,"[26, 25, 35, 26, 20, 31, 34, 31, 24, 17]",17,t,"[26, 25, 35, 26, 20, 31, 34, 31, 24, 17]",17,"[26, 25, 35, 26, 20, 31, 34, 31, 24, 17]",control
69,136,138,136,2018-01-05 23:04:41.634106,3,41,10,1,f,6KwMuK6z,23,t,"[27, 24, 31, 31, 29, 36, 23, 24, 23, 23]",23,t,"[27, 24, 31, 31, 29, 36, 23, 24, 23, 23]",23,"[27, 24, 31, 31, 29, 36, 23, 24, 23, 23]",control
35,69,71,69,2018-01-05 20:11:26.461274,3,41,10,1,f,97TKGOCs,19,t,"[17, 20, 33, 26, 31, 32, 20, 24, 15, 19]",7,f,"[8, 8, 14, 8, 6, 9, 3, 12, 4, 7]",19,"[17, 20, 33, 26, 31, 32, 20, 24, 15, 19]",partial
32,64,66,64,2018-01-05 19:54:24.772042,3,41,10,0,f,yRf4MSAz,24,t,"[19, 24, 37, 27, 31, 28, 27, 29, 18, 24]",7,f,"[10, 10, 12, 11, 6, 9, 9, 12, 6, 7]",24,"[19, 24, 37, 27, 31, 28, 27, 29, 18, 24]",partial
33,67,67,65,2018-01-05 20:00:04.168967,2,41,10,1,f,CbiGybMs,25,t,"[23, 27, 28, 37, 28, 23, 33, 28, 20, 25]",9,f,"[11, 9, 7, 14, 3, 8, 8, 9, 9, 9]",25,"[23, 27, 28, 37, 28, 23, 33, 28, 20, 25]",partial
78,154,154,152,2018-01-05 23:12:09.812042,3,41,10,0,f,NYKKgnXz,18,t,"[26, 31, 32, 30, 30, 26, 28, 32, 16, 18]",18,t,"[26, 31, 32, 30, 30, 26, 28, 32, 16, 18]",18,"[26, 31, 32, 30, 30, 26, 28, 32, 16, 18]",control
63,122,122,123,2018-01-05 20:54:49.216518,4,35,1,0,f,,10,t,[],7,f,[],19,[],partial_asymmetric
31,63,63,62,2018-01-05 20:16:44.782975,4,41,10,0,f,yD97Fwnz,11,t,"[27, 22, 28, 22, 31, 27, 31, 26, 24, 11]",4,f,"[8, 6, 9, 6, 6, 10, 10, 9, 12, 4]",11,"[27, 22, 28, 22, 31, 27, 31, 26, 24, 11]",partial
34,68,68,70,2018-01-05 20:01:20.929814,3,41,10,0,f,K5ZMCF9z,23,t,"[27, 15, 29, 27, 34, 21, 28, 17, 18, 23]",7,f,"[10, 6, 10, 10, 8, 4, 6, 7, 7, 7]",23,"[27, 15, 29, 27, 34, 21, 28, 17, 18, 23]",partial
70,144,144,137,2018-01-05 23:04:51.277586,3,43,10,1,f,RGTSdc2z,24,t,"[25, 25, 30, 16, 29, 24, 32, 29, 28, 24]",24,t,"[25, 25, 30, 16, 29, 24, 32, 29, 28, 24]",24,"[25, 25, 30, 16, 29, 24, 32, 29, 28, 24]",control
71,142,143,142,2018-01-05 23:04:59.525473,3,41,10,0,f,6WrYHFos,18,t,"[27, 27, 32, 25, 29, 30, 36, 16, 15, 18]",18,t,"[27, 27, 32, 25, 29, 30, 36, 16, 15, 18]",18,"[27, 27, 32, 25, 29, 30, 36, 16, 15, 18]",control
26,51,58,51,2018-01-05 19:48:44.492744,4,41,10,0,f,FVJ6C6Nz,6,t,"[21, 22, 23, 18, 32, 19, 24, 29, 25, 6]",4,f,"[6, 5, 9, 9, 6, 7, 7, 10, 11, 4]",6,"[21, 22, 23, 18, 32, 19, 24, 29, 25, 6]",partial
28,57,57,56,2018-01-05 19:53:13.795774,3,41,10,0,f,gtISoy7s,26,t,"[35, 19, 34, 28, 34, 26, 28, 24, 24, 26]",10,f,"[15, 8, 13, 8, 8, 8, 7, 9, 13, 10]",26,"[35, 19, 34, 28, 34, 26, 28, 24, 24, 26]",partial
25,50,50,49,2018-01-05 19:48:20.379566,3,41,10,0,f,uGcOJAoz,21,t,"[22, 18, 30, 22, 31, 21, 32, 17, 24, 21]",6,f,"[7, 5, 10, 9, 6, 6, 11, 6, 12, 6]",21,"[22, 18, 30, 22, 31, 21, 32, 17, 24, 21]",partial
73,140,140,145,2018-01-05 23:11:27.443744,3,41,10,0,f,FywSLN8z,28,t,"[28, 23, 34, 26, 29, 25, 34, 27, 20, 28]",28,t,"[28, 23, 34, 26, 29, 25, 34, 27, 20, 28]",28,"[28, 23, 34, 26, 29, 25, 34, 27, 20, 28]",control
76,148,150,148,2018-01-05 23:08:25.43967,2,41,10,0,f,krp7Y3uz,16,t,"[21, 18, 28, 27, 33, 29, 28, 29, 20, 16]",16,t,"[21, 18, 28, 27, 33, 29, 28, 29, 20, 16]",16,"[21, 18, 28, 27, 33, 29, 28, 29, 20, 16]",control
