,room,game,condition,first_player,move,agreement
8,13,7,partial,1,8,0.0
9,13,7,partial,1,9,1.0
10,13,7,partial,1,10,0.0
11,13,7,partial,1,11,1.0
12,13,7,partial,1,12,0.0
13,13,7,partial,1,13,1.0
14,13,7,partial,1,14,0.0
0,15,7,partial,1,0,0.25
1,15,7,partial,1,1,0.3333333333333333
2,15,7,partial,1,2,0.5
3,15,7,partial,1,3,0.5
4,15,7,partial,1,4,0.0
5,15,7,partial,1,5,0.5
6,15,7,partial,1,6,0.0
7,15,7,partial,1,7,0.0
8,15,7,partial,1,8,0.0
9,15,7,partial,1,9,1.0
10,15,7,partial,1,10,1.0
11,15,7,partial,1,11,1.0
12,15,7,partial,1,12,1.0
13,15,7,partial,1,13,1.0
14,15,7,partial,1,14,0.0
0,15,16,partial,0,0,0.25
1,15,16,partial,0,1,0.0
2,15,16,partial,0,2,0.0
3,15,16,partial,0,3,0.0
4,15,16,partial,0,4,1.0
5,15,16,partial,0,5,0.0
6,15,16,partial,0,6,1.0
7,15,16,partial,0,7,0.0
8,15,16,partial,0,8,1.0
9,15,16,partial,0,9,0.0
10,15,16,partial,0,10,1.0
11,15,16,partial,0,11,1.0
12,15,16,partial,0,12,1.0
13,15,16,partial,0,13,0.0
14,15,16,partial,0,14,1.0
0,13,3,partial,1,0,0.25
1,13,3,partial,1,1,1.0
2,13,3,partial,1,2,0.3333333333333333
3,13,3,partial,1,3,1.0
4,13,3,partial,1,4,0.5
5,13,3,partial,1,5,1.0
6,13,3,partial,1,6,0.0
7,13,3,partial,1,7,1.0
8,13,3,partial,1,8,0.0
9,13,3,partial,1,9,1.0
10,13,3,partial,1,10,0.0
11,13,3,partial,1,11,1.0
12,13,3,partial,1,12,1.0
13,13,3,partial,1,13,1.0
14,13,3,partial,1,14,0.0
0,19,17,partial,1,0,0.25
1,19,17,partial,1,1,0.3333333333333333
2,19,17,partial,1,2,1.0
3,19,17,partial,1,3,1.0
4,19,17,partial,1,4,1.0
5,19,17,partial,1,5,1.0
6,19,17,partial,1,6,1.0
7,19,17,partial,1,7,1.0
8,19,17,partial,1,8,1.0
9,19,17,partial,1,9,1.0
10,19,17,partial,1,10,1.0
11,19,17,partial,1,11,1.0
12,19,17,partial,1,12,1.0
13,19,17,partial,1,13,1.0
14,19,17,partial,1,14,1.0
0,19,18,partial,0,0,0.25
1,19,18,partial,0,1,0.0
2,19,18,partial,0,2,1.0
3,19,18,partial,0,3,0.0
4,19,18,partial,0,4,1.0
5,19,18,partial,0,5,0.0
6,19,18,partial,0,6,1.0
7,19,18,partial,0,7,0.0
8,19,18,partial,0,8,1.0
9,19,18,partial,0,9,0.0
10,19,18,partial,0,10,1.0
11,19,18,partial,0,11,0.0
12,19,18,partial,0,12,1.0
13,19,18,partial,0,13,1.0
14,19,18,partial,0,14,1.0
0,15,19,partial,1,0,0.25
1,15,19,partial,1,1,0.3333333333333333
2,15,19,partial,1,2,0.5
3,15,19,partial,1,3,0.5
4,15,19,partial,1,4,1.0
5,15,19,partial,1,5,1.0
6,15,19,partial,1,6,0.0
7,15,19,partial,1,7,1.0
8,15,19,partial,1,8,0.5
9,15,19,partial,1,9,1.0
10,15,19,partial,1,10,0.0
11,15,19,partial,1,11,1.0
12,15,19,partial,1,12,0.0
13,15,19,partial,1,13,0.0
14,15,19,partial,1,14,0.0
0,13,1,partial,1,0,0.25
1,13,1,partial,1,1,0.0
2,13,1,partial,1,2,0.0
3,13,1,partial,1,3,0.0
4,13,1,partial,1,4,0.0
5,13,1,partial,1,5,0.0
6,13,1,partial,1,6,0.0
7,13,1,partial,1,7,0.3333333333333333
8,13,1,partial,1,8,0.0
9,13,1,partial,1,9,0.0
10,13,1,partial,1,10,1.0
11,13,1,partial,1,11,0.0
12,13,1,partial,1,12,1.0
13,13,1,partial,1,13,0.5
14,13,1,partial,1,14,1.0
0,13,10,partial,0,0,0.25
1,13,10,partial,0,1,0.0
2,13,10,partial,0,2,1.0
3,13,10,partial,0,3,0.3333333333333333
4,13,10,partial,0,4,1.0
5,13,10,partial,0,5,0.5
6,13,10,partial,0,6,1.0
7,13,10,partial,0,7,0.0
8,13,10,partial,0,8,1.0
9,13,10,partial,0,9,0.3333333333333333
10,13,10,partial,0,10,1.0
11,13,10,partial,0,11,0.5
12,13,10,partial,0,12,0.0
13,13,10,partial,0,13,0.0
14,13,10,partial,0,14,0.0
0,13,5,partial,1,0,0.25
1,13,5,partial,1,1,1.0
2,13,5,partial,1,2,0.0
3,13,5,partial,1,3,1.0
4,13,5,partial,1,4,0.0
5,13,5,partial,1,5,1.0
6,13,5,partial,1,6,0.0
7,13,5,partial,1,7,1.0
8,13,5,partial,1,8,0.0
9,13,5,partial,1,9,1.0
10,13,5,partial,1,10,0.5
11,13,5,partial,1,11,1.0
12,13,5,partial,1,12,0.0
13,13,5,partial,1,13,1.0
14,13,5,partial,1,14,0.0
0,19,12,partial,0,0,0.25
1,19,12,partial,0,1,0.0
2,19,12,partial,0,2,0.3333333333333333
3,19,12,partial,0,3,0.0
4,19,12,partial,0,4,1.0
5,19,12,partial,0,5,0.0
6,19,12,partial,0,6,1.0
7,19,12,partial,0,7,1.0
8,19,12,partial,0,8,1.0
9,19,12,partial,0,9,1.0
10,19,12,partial,0,10,1.0
11,19,12,partial,0,11,1.0
12,19,12,partial,0,12,1.0
13,19,12,partial,0,13,1.0
14,19,12,partial,0,14,1.0
0,19,10,partial,0,0,0.25
1,19,10,partial,0,1,0.0
2,19,10,partial,0,2,0.3333333333333333
3,19,10,partial,0,3,0.0
4,19,10,partial,0,4,0.0
5,19,10,partial,0,5,0.0
6,19,10,partial,0,6,0.0
7,19,10,partial,0,7,0.0
8,19,10,partial,0,8,0.0
9,19,10,partial,0,9,0.0
10,19,10,partial,0,10,0.0
11,19,10,partial,0,11,1.0
12,19,10,partial,0,12,1.0
13,19,10,partial,0,13,1.0
14,19,10,partial,0,14,1.0
0,19,13,partial,1,0,0.25
1,19,13,partial,1,1,0.3333333333333333
2,19,13,partial,1,2,0.5
3,19,13,partial,1,3,0.0
4,19,13,partial,1,4,0.0
5,19,13,partial,1,5,0.0
6,19,13,partial,1,6,0.0
7,19,13,partial,1,7,1.0
8,19,13,partial,1,8,0.0
9,19,13,partial,1,9,0.0
10,19,13,partial,1,10,0.0
11,19,13,partial,1,11,1.0
12,19,13,partial,1,12,0.0
13,19,13,partial,1,13,1.0
14,19,13,partial,1,14,0.0
0,13,19,partial,1,0,0.25
1,13,19,partial,1,1,0.3333333333333333
2,13,19,partial,1,2,0.5
3,13,19,partial,1,3,1.0
4,13,19,partial,1,4,0.0
5,13,19,partial,1,5,1.0
6,13,19,partial,1,6,0.0
7,13,19,partial,1,7,1.0
8,13,19,partial,1,8,0.0
9,13,19,partial,1,9,1.0
10,13,19,partial,1,10,1.0
11,13,19,partial,1,11,1.0
