room,game,move,condition,player,chosen_arm,arm,value
13,3,27,partial,1,1,3,0.0
13,3,28,partial,0,2,0,0.875
13,3,28,partial,0,2,1,0.5
13,3,28,partial,0,2,2,0.5
13,3,28,partial,0,2,3,0.0
13,3,29,partial,1,2,0,0.833333333333
13,3,29,partial,1,2,1,0.0
13,3,29,partial,1,2,2,0.0
13,3,29,partial,1,2,3,0.0
13,3,30,partial,0,2,0,0.875
13,3,30,partial,0,2,1,0.25
13,3,30,partial,0,2,2,0.5
13,3,30,partial,0,2,3,0.0
13,3,31,partial,1,2,0,0.833333333333
13,3,31,partial,1,2,1,0.0
13,3,31,partial,1,2,2,0.0
13,3,31,partial,1,2,3,0.0
13,3,32,partial,0,1,0,0.875
13,3,32,partial,0,1,1,0.333333333333
13,3,32,partial,0,1,2,0.5
13,3,32,partial,0,1,3,0.0
13,3,33,partial,1,1,0,0.833333333333
13,3,33,partial,1,1,1,0.0
13,3,33,partial,1,1,2,0.0
13,3,33,partial,1,1,3,0.0
13,3,34,partial,0,1,0,0.807692307692
13,3,34,partial,0,1,1,0.333333333333
13,3,34,partial,0,1,2,0.5
13,3,34,partial,0,1,3,0.0
13,3,35,partial,1,1,0,0.846153846154
13,3,35,partial,1,1,1,0.0
13,3,35,partial,1,1,2,0.0
13,3,35,partial,1,1,3,0.0
13,3,36,partial,0,1,0,0.821428571429
13,3,36,partial,0,1,1,0.333333333333
13,3,36,partial,0,1,2,0.5
13,3,36,partial,0,1,3,0.0
13,3,37,partial,1,1,0,0.846153846154
13,3,37,partial,1,1,1,0.0
13,3,37,partial,1,1,2,0.0
13,3,37,partial,1,1,3,0.0
13,3,38,partial,0,1,0,0.833333333333
13,3,38,partial,0,1,1,0.333333333333
13,3,38,partial,0,1,2,0.5
13,3,38,partial,0,1,3,0.0
13,3,39,partial,1,1,0,0.846153846154
13,3,39,partial,1,1,1,0.0
13,3,39,partial,1,1,2,0.0
13,3,39,partial,1,1,3,0.0
13,4,0,partial,0,1,0,0.0
13,4,0,partial,0,1,1,0.0
13,4,0,partial,0,1,2,0.0
13,4,0,partial,0,1,3,0.0
13,4,1,partial,1,1,0,0.0
13,4,1,partial,1,1,1,0.0
13,4,1,partial,1,1,2,0.0
13,4,1,partial,1,1,3,0.0
13,4,2,partial,0,1,0,0.5
13,4,2,partial,0,1,1,0.0
13,4,2,partial,0,1,2,0.0
13,4,2,partial,0,1,3,0.0
13,4,3,partial,1,1,0,0.0
13,4,3,partial,1,1,1,0.0
13,4,3,partial,1,1,2,0.0
13,4,3,partial,1,1,3,0.0
13,4,4,partial,0,1,0,0.75
13,4,4,partial,0,1,1,0.0
13,4,4,partial,0,1,2,0.0
13,4,4,partial,0,1,3,0.0
13,4,5,partial,1,1,0,0.0
13,4,5,partial,1,1,1,0.0
13,4,5,partial,1,1,2,0.0
13,4,5,partial,1,1,3,0.0
13,4,6,partial,0,2,0,0.666666666667
13,4,6,partial,0,2,1,0.0
13,4,6,partial,0,2,2,0.0
13,4,6,partial,0,2,3,0.0
13,4,7,partial,1,2,0,0.0
13,4,7,partial,1,2,1,0.0
13,4,7,partial,1,2,2,0.0
13,4,7,partial,1,2,3,0.0
13,4,8,partial,0,1,0,0.666666666667
13,4,8,partial,0,1,1,1.0
13,4,8,partial,0,1,2,0.0
13,4,8,partial,0,1,3,0.0
13,4,9,partial,1,1,0,0.0
13,4,9,partial,1,1,1,0.0
13,4,9,partial,1,1,2,0.0
13,4,9,partial,1,1,3,0.0
13,4,10,partial,0,1,0,0.625
13,4,10,partial,0,1,1,1.0
13,4,10,partial,0,1,2,0.0
13,4,10,partial,0,1,3,0.0
13,4,11,partial,1,1,0,0.0
13,4,11,partial,1,1,1,0.0
13,4,11,partial,1,1,2,0.0
13,4,11,partial,1,1,3,0.0
13,4,12,partial,0,1,0,0.7
13,4,12,partial,0,1,1,1.0
13,4,12,partial,0,1,2,0.0
13,4,12,partial,0,1,3,0.0
13,4,13,partial,1,1,0,0.0
13,4,13,partial,1,1,1,0.0
13,4,13,partial,1,1,2,0.0
13,4,13,partial,1,1,3,0.0
13,4,14,partial,0,1,0,0.75
13,4,14,partial,0,1,1,1.0
13,4,14,partial,0,1,2,0.0
13,4,14,partial,0,1,3,0.0
13,4,15,partial,1,1,0,0.0
13,4,15,partial,1,1,1,0.0
13,4,15,partial,1,1,2,0.0
13,4,15,partial,1,1,3,0.0
13,4,16,partial,0,1,0,0.785714285714
13,4,16,partial,0,1,1,1.0
13,4,16,partial,0,1,2,0.0
13,4,16,partial,0,1,3,0.0
13,4,17,partial,1,1,0,0.0
13,4,17,partial,1,1,1,0.0
13,4,17,partial,1,1,2,0.0
13,4,17,partial,1,1,3,0.0
13,4,18,partial,0,1,0,0.8125
13,4,18,partial,0,1,1,1.0
