,arm,p,reward,exploit0,exploit1,chosen_arm,condition,game,move,player,room
2,3.0,1.0,0.3333333333333333,0.6363636363636362,0.6363636363636362,1,control,1,14,0,91
3,4.0,1.0,0.5,0.6363636363636364,0.6363636363636364,1,control,1,14,0,91
0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,control,1,15,1,91
1,2.0,1.0,0.25,0.6666666666666666,0.6666666666666666,1,control,1,15,1,91
2,3.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,control,1,15,1,91
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1,control,1,15,1,91
0,1.0,1.0,0.6923076923076923,0.6923076923076923,0.6923076923076923,1,control,1,16,0,91
1,2.0,1.0,0.25,0.6923076923076923,0.6923076923076923,1,control,1,16,0,91
2,3.0,1.0,0.3333333333333333,0.6923076923076923,0.6923076923076923,1,control,1,16,0,91
3,4.0,1.0,0.5,0.6923076923076923,0.6923076923076923,1,control,1,16,0,91
0,1.0,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,1,control,1,17,1,91
1,2.0,1.0,0.25,0.7142857142857143,0.7142857142857143,1,control,1,17,1,91
2,3.0,1.0,0.3333333333333333,0.7142857142857142,0.7142857142857142,1,control,1,17,1,91
3,4.0,1.0,0.5,0.7142857142857143,0.7142857142857143,1,control,1,17,1,91
0,1.0,1.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,1,control,1,18,0,91
1,2.0,1.0,0.25,0.7333333333333333,0.7333333333333333,1,control,1,18,0,91
2,3.0,1.0,0.3333333333333333,0.7333333333333332,0.7333333333333332,1,control,1,18,0,91
3,4.0,1.0,0.5,0.7333333333333333,0.7333333333333333,1,control,1,18,0,91
0,1.0,1.0,0.75,0.75,0.75,1,control,1,19,1,91
1,2.0,1.0,0.25,0.75,0.75,1,control,1,19,1,91
2,3.0,1.0,0.3333333333333333,0.75,0.75,1,control,1,19,1,91
3,4.0,1.0,0.5,0.75,0.75,1,control,1,19,1,91
0,1.0,1.0,0.7647058823529411,0.7647058823529411,0.7647058823529411,1,control,1,20,0,91
1,2.0,1.0,0.25,0.7647058823529411,0.7647058823529411,1,control,1,20,0,91
2,3.0,1.0,0.3333333333333333,0.7647058823529411,0.7647058823529411,1,control,1,20,0,91
3,4.0,1.0,0.5,0.7647058823529411,0.7647058823529411,1,control,1,20,0,91
0,1.0,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,1,control,1,21,1,91
1,2.0,1.0,0.25,0.7777777777777778,0.7777777777777778,1,control,1,21,1,91
2,3.0,1.0,0.3333333333333333,0.7777777777777777,0.7777777777777777,1,control,1,21,1,91
3,4.0,1.0,0.5,0.7777777777777778,0.7777777777777778,1,control,1,21,1,91
0,1.0,1.0,0.7894736842105263,0.7894736842105263,0.7894736842105263,1,control,1,22,0,91
1,2.0,1.0,0.25,0.7894736842105263,0.7894736842105263,1,control,1,22,0,91
2,3.0,1.0,0.3333333333333333,0.7894736842105263,0.7894736842105263,1,control,1,22,0,91
3,4.0,1.0,0.5,0.7894736842105263,0.7894736842105263,1,control,1,22,0,91
0,1.0,1.0,0.8,0.8,0.8,1,control,1,23,1,91
1,2.0,1.0,0.25,0.8,0.8,1,control,1,23,1,91
2,3.0,1.0,0.3333333333333333,0.8,0.8,1,control,1,23,1,91
3,4.0,1.0,0.5,0.8,0.8,1,control,1,23,1,91
0,1.0,1.0,0.8095238095238095,0.8095238095238095,0.8095238095238095,1,control,1,24,0,91
1,2.0,1.0,0.25,0.8095238095238095,0.8095238095238095,1,control,1,24,0,91
