,arm,p,reward,exploit0,exploit1,room,game,move,condition,player,chosen_arm
2,3.0,1.0,0.5,0.6,0.6,17,3,7,control,0,4
3,4.0,1.0,0.3333333333333333,0.6,0.6,17,3,7,control,0,4
0,1.0,1.0,0.6,0.6,0.6,17,3,8,control,1,3
1,2.0,1.0,0.3333333333333333,0.6,0.6,17,3,8,control,1,3
2,3.0,1.0,0.5,0.6,0.6,17,3,8,control,1,3
3,4.0,1.0,0.5,0.6,0.6,17,3,8,control,1,3
0,1.0,1.0,0.6,0.6399999999999999,0.6399999999999999,17,3,9,control,0,1
1,2.0,1.0,0.3333333333333333,0.6,0.6,17,3,9,control,0,1
2,3.0,1.0,0.6,0.6399999999999999,0.6399999999999999,17,3,9,control,0,1
3,4.0,1.0,0.5,0.6,0.6,17,3,9,control,0,1
0,1.0,1.0,0.5,0.6,0.6,17,3,10,control,1,3
1,2.0,1.0,0.3333333333333333,0.6,0.6,17,3,10,control,1,3
2,3.0,1.0,0.6,0.6,0.6,17,3,10,control,1,3
3,4.0,1.0,0.5,0.6,0.6,17,3,10,control,1,3
0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,3,11,control,0,2
1,2.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,17,3,11,control,0,2
2,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,17,3,11,control,0,2
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,3,11,control,0,2
0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,3,12,control,1,3
1,2.0,1.0,0.25,0.6666666666666666,0.6666666666666666,17,3,12,control,1,3
2,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,17,3,12,control,1,3
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,3,12,control,1,3
0,1.0,1.0,0.5,0.7142857142857143,0.7142857142857143,17,3,13,control,0,3
1,2.0,1.0,0.25,0.7142857142857143,0.7142857142857143,17,3,13,control,0,3
2,3.0,1.0,0.7142857142857143,0.7142857142857142,0.7142857142857142,17,3,13,control,0,3
3,4.0,1.0,0.5,0.7142857142857143,0.7142857142857143,17,3,13,control,0,3
0,1.0,1.0,0.5,0.75,0.75,17,3,14,control,1,3
1,2.0,1.0,0.25,0.75,0.75,17,3,14,control,1,3
2,3.0,1.0,0.75,0.75,0.75,17,3,14,control,1,3
3,4.0,1.0,0.5,0.75,0.75,17,3,14,control,1,3
0,1.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,4,0,control,0,1
1,2.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,4,0,control,0,1
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,4,0,control,0,1
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,4,0,control,0,1
0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,17,4,1,control,1,1
1,2.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,4,1,control,1,1
2,3.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,4,1,control,1,1
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,4,1,control,1,1
0,1.0,1.0,0.5,0.55,0.55,17,4,2,control,0,3
1,2.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,4,2,control,0,3
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,4,2,control,0,3
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,4,2,control,0,3
0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,4,3,control,1,3
1,2.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,4,3,control,1,3
2,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,17,4,3,control,1,3
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,4,3,control,1,3
0,1.0,1.0,0.5,0.75,0.75,17,4,4,control,0,1
1,2.0,1.0,0.5,0.75,0.75,17,4,4,control,0,1
2,3.0,1.0,0.75,0.7500000000000001,0.7500000000000001,17,4,4,control,0,1
3,4.0,1.0,0.5,0.75,0.75,17,4,4,control,0,1
0,1.0,1.0,0.6,0.75,0.75,17,4,5,control,1,3
1,2.0,1.0,0.5,0.75,0.75,17,4,5,control,1,3
2,3.0,1.0,0.75,0.7500000000000001,0.7500000000000001,17,4,5,control,1,3
3,4.0,1.0,0.5,0.75,0.75,17,4,5,control,1,3
0,1.0,1.0,0.6,0.8,0.8,17,4,6,control,0,3
1,2.0,1.0,0.5,0.8,0.8,17,4,6,control,0,3
2,3.0,1.0,0.8,0.8,0.8,17,4,6,control,0,3
3,4.0,1.0,0.5,0.8,0.8,17,4,6,control,0,3
0,1.0,1.0,0.6,0.8333333333333334,0.8333333333333334,17,4,7,control,1,3
1,2.0,1.0,0.5,0.8333333333333334,0.8333333333333334,17,4,7,control,1,3
2,3.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,17,4,7,control,1,3
3,4.0,1.0,0.5,0.8333333333333334,0.8333333333333334,17,4,7,control,1,3
0,1.0,1.0,0.6,0.8571428571428571,0.8571428571428571,17,4,8,control,0,1
1,2.0,1.0,0.5,0.8571428571428571,0.8571428571428571,17,4,8,control,0,1
2,3.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,17,4,8,control,0,1
3,4.0,1.0,0.5,0.8571428571428571,0.8571428571428571,17,4,8,control,0,1
0,1.0,1.0,0.6666666666666666,0.8571428571428571,0.8571428571428571,17,4,9,control,1,3
1,2.0,1.0,0.5,0.8571428571428571,0.8571428571428571,17,4,9,control,1,3
2,3.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,17,4,9,control,1,3
3,4.0,1.0,0.5,0.8571428571428571,0.8571428571428571,17,4,9,control,1,3
0,1.0,1.0,0.6666666666666666,0.8749999999999999,0.8749999999999999,17,4,10,control,0,3
1,2.0,1.0,0.5,0.875,0.875,17,4,10,control,0,3
2,3.0,1.0,0.875,0.8749999999999999,0.8749999999999999,17,4,10,control,0,3
3,4.0,1.0,0.5,0.875,0.875,17,4,10,control,0,3
0,1.0,1.0,0.6666666666666666,0.8888888888888888,0.8888888888888888,17,4,11,control,1,3
1,2.0,1.0,0.5,0.8888888888888888,0.8888888888888888,17,4,11,control,1,3
2,3.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,17,4,11,control,1,3
3,4.0,1.0,0.5,0.8888888888888888,0.8888888888888888,17,4,11,control,1,3
0,1.0,1.0,0.6666666666666666,0.8999999999999999,0.8999999999999999,17,4,12,control,0,1
1,2.0,1.0,0.5,0.9,0.9,17,4,12,control,0,1
2,3.0,1.0,0.9,0.8999999999999999,0.8999999999999999,17,4,12,control,0,1
3,4.0,1.0,0.5,0.9,0.9,17,4,12,control,0,1
0,1.0,1.0,0.7142857142857143,0.9,0.9,17,4,13,control,1,3
1,2.0,1.0,0.5,0.9,0.9,17,4,13,control,1,3
2,3.0,1.0,0.9,0.8999999999999999,0.8999999999999999,17,4,13,control,1,3
3,4.0,1.0,0.5,0.9,0.9,17,4,13,control,1,3
0,1.0,1.0,0.7142857142857143,0.9090909090909091,0.9090909090909091,17,4,14,control,0,3
1,2.0,1.0,0.5,0.9090909090909091,0.9090909090909091,17,4,14,control,0,3
2,3.0,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,17,4,14,control,0,3
3,4.0,1.0,0.5,0.9090909090909091,0.9090909090909091,17,4,14,control,0,3
0,1.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,5,0,control,1,3
1,2.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,5,0,control,1,3
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,5,0,control,1,3
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,5,0,control,1,3
0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,5,1,control,0,1
1,2.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,5,1,control,0,1
2,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,17,5,1,control,0,1
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,5,1,control,0,1
0,1.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,17,5,2,control,1,3
1,2.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,5,2,control,1,3
2,3.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,17,5,2,control,1,3
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,5,2,control,1,3
0,1.0,1.0,0.6666666666666666,0.75,0.75,17,5,3,control,0,3
1,2.0,1.0,0.5,0.75,0.75,17,5,3,control,0,3
2,3.0,1.0,0.75,0.7666666666666667,0.7666666666666667,17,5,3,control,0,3
3,4.0,1.0,0.5,0.75,0.75,17,5,3,control,0,3
0,1.0,1.0,0.6666666666666666,0.7,0.7,17,5,4,control,1,3
1,2.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,5,4,control,1,3
2,3.0,1.0,0.6,0.6666666666666666,0.6666666666666666,17,5,4,control,1,3
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,5,4,control,1,3
0,1.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,17,5,5,control,0,1
1,2.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,5,5,control,0,1
2,3.0,1.0,0.6666666666666666,0.6984126984126984,0.6984126984126984,17,5,5,control,0,1
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,5,5,control,0,1
0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,5,6,control,1,3
